symbol,entry_time,exit_time,entry,exit,qty,pnl,reason,bars,score,R
TONUSDT,2026-05-04 08:00:00+00:00,2026-05-04 20:00:00+00:00,1.3849,1.4958,29465.681907321617,3206.039449726207,target50,4,6,2.6144345152723325
TONUSDT,2026-05-04 08:00:00+00:00,2026-05-05 04:00:00+00:00,1.3849,1.6891460896910298,29465.681907321617,8895.13792245896,stop,6,6,7.1725110732630295
SUIUSDT,2026-05-06 12:00:00+00:00,2026-05-06 12:00:00+00:00,1.0297,0.984151500946558,80164.37578236643,-3761.818441491014,stop,1,6,-1.0
LTCUSDT,2026-05-06 12:00:00+00:00,2026-05-07 00:00:00+00:00,57.68,56.19509111892922,1431.2500667048134,-2237.876854160554,stop,4,6,-1.0
CAKEUSDT,2026-05-06 12:00:00+00:00,2026-05-07 12:00:00+00:00,1.5881,1.535623866628895,51989.0126488535,-2839.9521576697734,stop,7,6,-1.0
CAKEUSDT,2026-05-07 16:00:00+00:00,2026-05-07 20:00:00+00:00,1.5269,1.5061458207668768,53579.423180610334,-1224.974745921348,stop,2,6,-1.0
JASMYUSDT,2026-05-06 20:00:00+00:00,2026-05-08 20:00:00+00:00,0.005832,0.006296400000000001,7049541.912842072,3211.6658343438335,target50,13,6,3.133055148028862
ENSUSDT,2026-05-06 04:00:00+00:00,2026-05-09 00:00:00+00:00,6.464,6.981120000000001,6387.1441184677105,3240.49477917438,target50,18,6,1.8827073639580603
SUIUSDT,2026-05-06 16:00:00+00:00,2026-05-09 00:00:00+00:00,0.9911,1.0703880000000001,41486.765815213505,3227.2329771542736,target50,15,6,1.5029262463521456
ENSUSDT,2026-05-06 04:00:00+00:00,2026-05-10 00:00:00+00:00,6.464,6.760301051180768,6387.1441184677105,1832.0668924076726,stop,24,6,1.0787596128684742
JASMYUSDT,2026-05-06 20:00:00+00:00,2026-05-10 08:00:00+00:00,0.005832,0.006976617204529244,7049541.912842072,8000.172219938573,stop,22,6,7.722112026642444
CAKEUSDT,2026-05-08 16:00:00+00:00,2026-05-11 00:00:00+00:00,1.5469,1.568983852010681,52817.4158042664,1050.3944527054628,stop,15,6,0.5718782945447516
SUIUSDT,2026-05-06 16:00:00+00:00,2026-05-11 04:00:00+00:00,0.9911,1.271306859120598,41486.765815213505,11551.036970231718,stop,28,6,5.311399492738424
